PersonId,LastName,UsedFirstName,SchoolNameLongEn,FieldOfStudyEn,DiplomaLongEn,GraduationYear
16506,Collenette,David Michael,York University,Political Science,Bachelor,1969.0
16506,Collenette,David Michael,Carleton University,Arts,Master,
3081,Collins,A.B. (Bernie),University of Regina,Education,Bachelor,
3081,Collins,A.B. (Bernie),Northern State College (South Dakota),Science,Master,
14546,Collins,Mary,University of British Columbia,Unknown,Unknown,
14546,Collins,Mary,Queen's University,Political Science,Bachelor,
4363,Colter,Charles Wesley,University of New Brunswick,Arts,Bachelor,1865.0
6483,Colter,Newton Ramsay,Harvard University,Medicine,Doctorate,1866.0
6483,Colter,Newton Ramsay,London Royal College of Physicians,Medicine,Unknown,1867.0
222,Comartin,Joe,University of Windsor,Political Science and History,Bachelor,1968.0
222,Comartin,Joe,University of Windsor,Laws,Bachelor,1971.0
6330,Comeau,Gerald J.,University of Moncton,Commerce,Bachelor,1971.0
6330,Comeau,Gerald J.,University of Moncton,Business Administration,Master,1979.0
4440,Comeau,Louis-Roland,Saint Mary's University,Engineering,Diploma,1961.0
4440,Comeau,Louis-Roland,Saint Mary's University,Science,Bachelor,1962.0
4440,Comeau,Louis-Roland,Dalhousie University,Education,Bachelor,1963.0
10193,Comtois,Joseph-Roland,Montréal Polytechnic School,Science,Bachelor,
8451,Comtois,Paul,Institut d'agronomie d'Oka,Agriculture,Bachelor,1918.0
8451,Comtois,Paul,Montreal University,Arts,Bachelor,
7288,Comuzzi,Joseph R. (Joe),University of Windsor,Arts,Bachelor,1954.0
7288,Comuzzi,Joseph R. (Joe),University of Windsor,Laws,Bachelor,1980.0
6284,Conacher,Lionel Pretoria,Duquesne University,Unknown,Unknown,
7205,Congdon,Frederick Tennyson,University of Toronto,Arts,Bachelor,1879.0
7205,Congdon,Frederick Tennyson,University of Toronto,Laws,Master,1883.0
9084,Connolly,Harold Joseph,Saint Mary's University,Laws,Degree,
626,Connolly,John Joseph,University of Ottawa,Unknown,Degree,1927.0
626,Connolly,John Joseph,University of Notre Dame,Philosophy,Doctorate,
626,Connolly,John Joseph,Queen's University,Laws,Doctorate,
626,Connolly,John Joseph,Montreal University,Laws,Bachelor,
7573,Cook,Charles Henry (Chuck),University of Western Ontario,Business Administration,Master,
7573,Cook,Charles Henry (Chuck),Northwestern University,Unknown,Unknown,
7573,Cook,Charles Henry (Chuck),University of Saskatchewan,Laws,Bachelor,
4845,Cools,Anne C.,McGill University,Arts,Bachelor,
14772,Cooper,George Thomas Hendery,Dalhousie University,Science,Bachelor,1962.0
14772,Cooper,George Thomas Hendery,Dalhousie University,Laws,Bachelor,1965.0
14772,Cooper,George Thomas Hendery,University of Oxford,Civil Law,Bachelor,1967.0
14772,Cooper,George Thomas Hendery,Dalhousie University,Laws,Honorary doctorate,2004.0
14772,Cooper,George Thomas Hendery,University of Alberta,Laws,Honorary doctorate,2007.0
14772,Cooper,George Thomas Hendery,University of King's College,Laws,Honorary doctorate,2008.0
18429,Cooper,Michael,University of Alberta,Arts,Bachelor,
18429,Cooper,Michael,University of Alberta,Laws,Bachelor,
4154,Copp,Arthur Bliss,Dalhousie University,Laws,Bachelor,1894.0
4154,Copp,Arthur Bliss,Mount Allison University,Laws,Unknown,
4154,Copp,Arthur Bliss,Harvard University,Laws,Unknown,
11520,Copps,Sheila Maureen,University of Western Ontario,French and English,Bachelor,
11520,Copps,Sheila Maureen,McMaster University,Unknown,Unknown,
11520,Copps,Sheila Maureen,Université de Rouen (France),Unknown,Unknown,
7649,Corbett,Robert Alfred,Dalhousie University,Unknown,Unknown,
